targets, factors
Gene29, (!Gene375 & !Gene3) | (!Gene437 & !Gene375) | (!Gene49 & Gene437 & Gene375 & Gene3) | (Gene49 & Gene437 & !Gene3)
Gene30, (!Gene370 & !Gene249) | (Gene370 & Gene249 & !Gene770) | (Gene856 & !Gene370 & Gene770) | (Gene856 & !Gene249 & Gene770)
Gene31, (!Gene106 & !Gene738 & Gene832) | (!Gene106 & Gene738 & !Gene832) | (!Gene106 & Gene832 & Gene71) | (Gene106 & !Gene738 & !Gene832) | (Gene738 & !Gene832 & Gene71)
Gene32, (!Gene290 & !Gene522 & !Gene965) | (!Gene795 & Gene522 & Gene965) | (!Gene795 & !Gene522 & !Gene965) | (!Gene795 & Gene290 & Gene965) | (Gene795 & Gene522 & !Gene965)
Gene33, (!Gene187 & !Gene424 & Gene219) | (!Gene187 & Gene424 & !Gene219) | (Gene158 & Gene424) | (Gene187 & Gene158 & !Gene219)
Gene34, (!Gene426 & Gene790) | (Gene162 & Gene699 & !Gene790) | (Gene426 & Gene162 & !Gene790) | (Gene162 & !Gene699 & Gene790)
Gene35, (!Gene879 & Gene56) | (!Gene879 & Gene378 & !Gene367) | (Gene367 & Gene56) | (Gene378 & Gene56)
Gene36, (!Gene8 & Gene712 & !Gene201) | (Gene8 & !Gene719 & !Gene712) | (Gene8 & Gene201) | (Gene719 & Gene712 & !Gene201)
Gene37, (!Gene656 & !Gene355) | (!Gene656 & !Gene896 & Gene225) | (Gene896 & Gene355 & !Gene225) | (Gene656 & Gene896 & Gene355)
Gene38, (!Gene886 & !Gene741 & !Gene928) | (!Gene886 & Gene741 & !Gene283 & Gene928) | (Gene741 & Gene283 & !Gene928) | (Gene886 & Gene283 & Gene928) | (Gene886 & Gene741 & !Gene928)
Gene39, (!Gene483 & Gene142 & !Gene746) | (!Gene885 & Gene483 & !Gene142 & !Gene746) | (Gene483 & Gene142 & Gene746) | (Gene885 & !Gene483 & !Gene746) | (Gene885 & !Gene142 & Gene746)
Gene40, (!Gene972 & !Gene419 & !Gene544) | (Gene419 & Gene544) | (!Gene972 & Gene191 & !Gene544) | (Gene972 & Gene419 & !Gene191)
Gene41, (!Gene71 & !Gene462 & Gene488) | (!Gene71 & !Gene462 & Gene954) | (Gene71 & !Gene954 & !Gene488) | (!Gene462 & Gene954 & Gene488) | (Gene71 & Gene462 & !Gene488) | (Gene71 & Gene954 & Gene488)
Gene42, (!Gene821 & !Gene741) | (!Gene655 & !Gene469 & Gene741) | (!Gene821 & !Gene469) | (!Gene655 & Gene469 & !Gene741)
Gene43, (!Gene492 & !Gene648 & !Gene395) | (!Gene492 & Gene648 & Gene395) | (!Gene253 & !Gene648 & !Gene395) | (Gene492 & !Gene648 & Gene395) | (Gene253 & Gene648 & Gene395)
Gene44, (!Gene442 & !Gene583 & Gene485) | (!Gene442 & Gene583 & Gene149) | (Gene442 & !Gene149 & !Gene485) | (!Gene583 & Gene149 & Gene485) | (Gene442 & Gene583 & !Gene149)
Gene45, (!Gene338 & !Gene150 & Gene918) | (Gene150 & Gene438 & !Gene918) | (Gene338 & !Gene438 & !Gene918) | (Gene338 & Gene150)
Gene46, (!Gene745 & !Gene474 & !Gene547) | (!Gene64 & !Gene745 & !Gene474) | (!Gene64 & !Gene745 & !Gene547) | (!Gene64 & Gene745 & Gene474 & Gene547) | (Gene64 & !Gene745 & Gene474 & Gene547) | (Gene64 & Gene745 & !Gene474 & Gene547) | (Gene64 & Gene745 & Gene474 & !Gene547)
Gene47, (!Gene515 & !Gene426 & !Gene214) | (!Gene47 & Gene426 & !Gene214) | (Gene47 & Gene426 & Gene214) | (Gene515 & Gene426)
Gene48, (!Gene241 & !Gene410) | (Gene410 & !Gene499 & Gene170) | (!Gene241 & Gene170) | (Gene241 & Gene410 & !Gene499)
Gene49, (!Gene216 & !Gene549 & !Gene389) | (Gene124 & !Gene549) | (Gene216 & !Gene124 & Gene549) | (Gene216 & Gene549 & Gene389)
Gene50, (!Gene993 & !Gene667 & Gene481) | (Gene993 & !Gene667 & !Gene481) | (!Gene510 & Gene993 & !Gene481) | (Gene510 & !Gene667) | (Gene510 & Gene993 & Gene481)
Gene51, (!Gene21 & !Gene154 & !Gene705 & Gene930) | (!Gene154 & Gene705 & !Gene930) | (!Gene21 & Gene154 & !Gene930) | (Gene154 & Gene705 & Gene930) | (Gene21 & Gene705 & Gene930)
Gene52, (!Gene361 & !Gene93 & !Gene691 & Gene639) | (!Gene361 & Gene691 & !Gene639) | (Gene93 & !Gene639) | (Gene361 & !Gene93 & Gene691 & Gene639) | (Gene361 & Gene93 & !Gene691)
Gene53, (Gene745 & !Gene396 & !Gene649) | (!Gene430 & Gene745 & Gene649) | (Gene430 & !Gene745 & Gene649) | (Gene430 & !Gene745 & Gene396) | (Gene745 & Gene396 & Gene649)
Gene54, (!Gene539 & !Gene542 & !Gene95) | (!Gene569 & !Gene539 & !Gene542) | (Gene539 & Gene542 & !Gene95) | (Gene569 & Gene542)
Gene55, (!Gene661 & !Gene751 & !Gene127 & !Gene762) | (!Gene661 & Gene751 & Gene762) | (!Gene661 & Gene751 & Gene127) | (Gene661 & !Gene751 & Gene762) | (Gene661 & !Gene751 & Gene127) | (Gene661 & Gene751 & !Gene127 & !Gene762)
Gene56, (!Gene973 & !Gene765 & !Gene630) | (!Gene863 & !Gene973 & !Gene630) | (!Gene973 & Gene765 & Gene630) | (!Gene863 & Gene765 & Gene630) | (Gene863 & !Gene765 & !Gene630) | (Gene863 & Gene973 & !Gene765)
Gene57, (!Gene694 & !Gene630 & !Gene541) | (!Gene507 & Gene630 & Gene541) | (Gene694 & !Gene507 & Gene541) | (Gene694 & Gene630 & !Gene541) | (Gene507 & !Gene630 & !Gene541)
Gene58, (!Gene608 & !Gene96 & !Gene123) | (!Gene867 & !Gene96 & Gene123) | (!Gene867 & !Gene608 & !Gene123) | (Gene867 & !Gene96 & !Gene123) | (Gene867 & Gene608 & !Gene123) | (Gene867 & Gene608 & Gene96)
Gene59, (!Gene333 & Gene521) | (!Gene333 & Gene51 & Gene270) | (Gene333 & !Gene51 & !Gene521) | (Gene51 & !Gene270 & Gene521)
Gene60, (!Gene379 & !Gene389) | (!Gene379 & !Gene707 & Gene944) | (!Gene389 & Gene707 & Gene944) | (Gene379 & Gene389 & !Gene707 & !Gene944) | (Gene379 & Gene707 & Gene944)
Gene61, (!Gene579 & Gene233) | (!Gene663 & Gene579 & !Gene233) | (!Gene93 & Gene233)
Gene62, (!Gene27 & !Gene664 & !Gene890) | (Gene27 & !Gene664 & Gene890) | (!Gene899 & Gene27 & Gene664) | (Gene899 & !Gene27 & Gene664 & Gene890) | (Gene899 & !Gene664 & !Gene890)
Gene63, (!Gene846 & !Gene501 & !Gene435) | (!Gene817 & !Gene846 & Gene435) | (Gene846 & Gene501 & !Gene435) | (!Gene846 & Gene501 & Gene435) | (Gene817 & Gene846 & !Gene501 & Gene435)
Gene64, (!Gene676 & !Gene244 & !Gene7) | (!Gene343 & !Gene676 & !Gene7) | (!Gene676 & Gene244 & Gene7) | (!Gene343 & !Gene244 & !Gene7) | (Gene676 & !Gene244 & Gene7)
Gene65, (!Gene916 & !Gene104 & Gene427) | (!Gene104 & Gene602) | (!Gene916 & Gene104 & !Gene427) | (!Gene916 & Gene602)
Gene66, (!Gene661 & !Gene199 & Gene992) | (!Gene938 & !Gene661 & Gene992) | (!Gene938 & !Gene199 & Gene992) | (Gene661 & Gene199 & !Gene992) | (Gene938 & Gene199 & !Gene992) | (Gene938 & Gene661 & !Gene992)
Gene67, (!Gene980 & !Gene144 & !Gene679) | (!Gene980 & Gene605 & !Gene679) | (Gene980 & !Gene605 & Gene144) | (Gene605 & !Gene144 & !Gene679) | (Gene980 & Gene605 & Gene679)
Gene68, (!Gene37 & !Gene5 & Gene742) | (Gene37 & !Gene742) | (Gene789 & !Gene37 & Gene742) | (Gene789 & !Gene5 & Gene742)
Gene69, (!Gene297 & !Gene764 & !Gene587) | (!Gene297 & Gene764 & Gene587) | (!Gene297 & Gene252 & Gene587) | (Gene252 & !Gene764 & !Gene587) | (Gene297 & Gene252 & !Gene587) | (Gene252 & Gene764 & Gene587)
Gene70, (!Gene194 & !Gene634 & Gene146 & Gene698) | (Gene634 & Gene146 & !Gene698) | (Gene194 & !Gene146) | (Gene194 & Gene634)
Gene71, (!Gene669 & !Gene692) | (!Gene198 & !Gene692 & !Gene333) | (!Gene198 & Gene669 & !Gene333) | (Gene198 & !Gene669 & Gene333) | (Gene198 & !Gene692 & Gene333)
Gene72, (!Gene339 & !Gene769) | (Gene769 & !Gene505 & Gene38) | (Gene339 & Gene769 & !Gene505) | (Gene339 & Gene769 & Gene38)
Gene73, (!Gene612 & !Gene385 & Gene449) | (!Gene964 & !Gene612 & Gene385) | (!Gene964 & Gene612 & !Gene385) | (Gene612 & Gene385 & Gene449)
Gene74, (!Gene838 & !Gene969 & Gene651) | (!Gene969 & Gene170 & !Gene651) | (!Gene838 & Gene170) | (Gene838 & Gene969 & !Gene170 & !Gene651) | (Gene969 & Gene170 & Gene651)
Gene75, (!Gene408 & Gene285 & !Gene601) | (!Gene408 & !Gene179 & Gene285) | (Gene179 & !Gene285 & Gene601) | (Gene408 & !Gene285)
Gene76, (!Gene564 & !Gene157) | (!Gene564 & !Gene788 & !Gene337) | (Gene788 & !Gene157) | (Gene564 & Gene788 & !Gene337)
Gene77, (!Gene930 & !Gene762 & !Gene351) | (!Gene930 & Gene762 & Gene351) | (!Gene497 & Gene930 & Gene351) | (Gene497 & !Gene930 & !Gene351) | (Gene497 & !Gene762 & !Gene351)
Gene78, (!Gene5 & !Gene797 & !Gene43) | (!Gene797 & !Gene975 & Gene43) | (Gene975 & !Gene43) | (Gene5 & !Gene797 & Gene43)
Gene79, (!Gene653 & !Gene305) | (Gene653 & !Gene323 & Gene305 & !Gene33) | (Gene323 & !Gene305) | (Gene653 & Gene323 & Gene33)
Gene80, (!Gene122 & !Gene88 & !Gene50 & !Gene472) | (Gene88 & Gene472) | (!Gene122 & Gene88 & Gene50) | (Gene122 & !Gene50 & Gene472) | (Gene122 & Gene88 & !Gene50)
Gene81, (!Gene110 & Gene698 & !Gene314) | (!Gene932 & Gene110 & !Gene698 & !Gene314) | (Gene110 & Gene698 & Gene314) | (Gene932 & !Gene110 & !Gene314) | (Gene932 & Gene698)
Gene82, (!Gene770 & !Gene904) | (!Gene770 & Gene531) | (Gene770 & Gene624 & Gene904)
Gene83, (!Gene17 & !Gene415 & !Gene851) | (!Gene902 & !Gene415 & Gene851) | (!Gene902 & Gene415 & !Gene851) | (!Gene17 & Gene902 & Gene415 & Gene851) | (Gene17 & !Gene415 & Gene851)
Gene84, (!Gene404 & !Gene238 & !Gene379) | (!Gene404 & !Gene519 & !Gene238) | (Gene519 & !Gene379) | (!Gene404 & Gene519 & Gene238) | (Gene404 & Gene238 & !Gene379)
Gene85, (!Gene763 & !Gene218) | (!Gene106 & !Gene671 & !Gene218) | (!Gene106 & Gene763 & Gene671 & Gene218) | (Gene106 & Gene763 & !Gene671 & Gene218) | (Gene106 & Gene671 & !Gene218)
Gene86, (!Gene564 & !Gene856 & !Gene192) | (!Gene564 & !Gene856 & Gene466) | (!Gene564 & Gene466 & !Gene192) | (!Gene856 & Gene466 & !Gene192) | (Gene564 & Gene856 & !Gene466) | (Gene564 & Gene856 & Gene192)
Gene87, (!Gene760 & !Gene463 & Gene231) | (!Gene250 & Gene463 & !Gene231) | (!Gene760 & Gene463 & !Gene231) | (!Gene760 & Gene250 & Gene231) | (Gene760 & !Gene463 & !Gene231)
Gene88, (!Gene709 & !Gene100) | (!Gene100 & Gene489) | (Gene709 & Gene100 & !Gene202)
Gene89, (!Gene737 & !Gene432 & !Gene321) | (!Gene292 & Gene432 & Gene321) | (!Gene737 & Gene292) | (Gene737 & !Gene292 & Gene321)
Gene90, (!Gene237 & !Gene194 & !Gene90) | (!Gene954 & !Gene90) | (!Gene954 & !Gene237 & Gene194) | (Gene237 & !Gene194 & Gene90)
Gene91, (!Gene611 & Gene347 & !Gene419) | (Gene984 & Gene347) | (Gene611 & !Gene984 & !Gene347) | (Gene611 & !Gene347 & Gene419)
Gene92, (!Gene391 & !Gene832) | (!Gene877 & !Gene391 & Gene18) | (!Gene877 & Gene391 & Gene832 & !Gene18) | (Gene877 & !Gene391 & !Gene18) | (Gene877 & !Gene832 & !Gene18)
Gene93, (!Gene913 & !Gene522 & Gene655) | (!Gene913 & Gene522 & Gene466) | (Gene913 & !Gene522 & Gene466) | (Gene913 & Gene522 & !Gene466)
Gene94, (!Gene798 & Gene168 & !Gene27) | (Gene798 & !Gene168 & !Gene27) | (!Gene971 & Gene798 & Gene27) | (Gene971 & !Gene798 & !Gene168 & Gene27) | (Gene798 & Gene168 & Gene27)
Gene95, (!Gene259 & !Gene249 & !Gene713) | (!Gene872 & !Gene259 & !Gene249) | (Gene259 & Gene249 & !Gene713) | (!Gene872 & Gene259 & Gene249) | (Gene872 & !Gene259 & Gene249 & Gene713) | (Gene872 & Gene259 & !Gene249 & Gene713)
Gene96, (!Gene789 & !Gene518 & !Gene661) | (!Gene311 & !Gene789 & !Gene518) | (!Gene311 & !Gene789 & !Gene661) | (!Gene311 & !Gene518 & !Gene661) | (Gene311 & Gene518 & Gene661) | (Gene311 & Gene789 & Gene518)
Gene97, (!Gene741 & !Gene128 & Gene531) | (!Gene741 & Gene477) | (Gene741 & Gene128 & !Gene477) | (Gene128 & Gene477 & Gene531)
Gene98, (!Gene141 & !Gene460 & Gene334) | (!Gene709 & Gene141 & !Gene460 & !Gene334) | (Gene141 & Gene460 & Gene334) | (Gene709 & !Gene141 & !Gene460) | (Gene709 & Gene460 & Gene334) | (Gene709 & Gene141 & Gene460)
Gene99, (!Gene417 & !Gene162 & Gene790) | (!Gene445 & !Gene417 & Gene162 & !Gene790) | (!Gene445 & !Gene162 & Gene790) | (Gene417 & Gene162 & Gene790) | (Gene445 & Gene417 & !Gene790)
Gene100, (!Gene762 & Gene881) | (!Gene744 & Gene762 & !Gene881) | (!Gene744 & !Gene810 & Gene881) | (Gene744 & Gene810 & Gene881)
Gene101, (!Gene75 & Gene857 & !Gene661) | (Gene75 & !Gene857 & !Gene661) | (Gene512 & !Gene857 & !Gene661) | (Gene512 & Gene857 & Gene661) | (Gene512 & Gene75 & Gene661)
Gene102, (!Gene704 & !Gene817 & !Gene235) | (!Gene798 & Gene817 & Gene235) | (Gene798 & !Gene235) | (Gene704 & Gene817 & Gene235)
Gene103, (!Gene934 & !Gene150 & Gene427) | (!Gene992 & Gene934 & !Gene150 & !Gene427) | (!Gene992 & Gene934 & Gene150 & Gene427) | (Gene992 & Gene150 & !Gene427) | (Gene992 & !Gene934 & Gene427) | (Gene992 & !Gene150 & Gene427)
Gene104, (!Gene362 & !Gene391 & !Gene516) | (Gene391 & Gene516 & Gene698) | (Gene362 & !Gene391 & Gene516) | (Gene362 & Gene391 & !Gene516)
Gene105, (!Gene992 & !Gene18 & !Gene517) | (!Gene992 & Gene18 & Gene517) | (Gene702 & !Gene18 & Gene517) | (Gene992 & !Gene18 & Gene517) | (Gene992 & !Gene702 & Gene18 & !Gene517)
Gene106, (!Gene123 & !Gene228 & Gene454) | (Gene228 & !Gene454 & !Gene692) | (!Gene123 & Gene454 & Gene692) | (!Gene228 & Gene454 & Gene692) | (Gene123 & Gene228 & !Gene454) | (Gene123 & Gene228 & !Gene692)
Gene107, (!Gene706 & !Gene831) | (!Gene240 & !Gene807 & !Gene831) | (Gene807 & Gene706 & Gene831) | (Gene240 & Gene807 & !Gene831)
Gene108, (!Gene294 & !Gene151 & Gene706) | (Gene34 & Gene151 & Gene706) | (Gene294 & !Gene151 & !Gene706) | (Gene294 & Gene151 & Gene706) | (Gene294 & Gene34 & !Gene706)
Gene109, (!Gene629 & Gene331) | (!Gene908 & Gene629 & Gene20) | (!Gene908 & Gene331) | (Gene908 & !Gene629 & Gene20)
Gene110, (!Gene948 & Gene65 & !Gene770) | (Gene948 & !Gene65 & Gene770) | (!Gene298 & Gene948 & Gene770) | (Gene298 & !Gene948)
Gene111, (!Gene504 & !Gene93 & Gene225) | (!Gene504 & Gene93 & !Gene225) | (!Gene601 & !Gene93 & Gene225) | (Gene601 & !Gene225)
Gene112, (!Gene314 & !Gene113 & !Gene17) | (Gene113 & Gene442 & Gene17) | (!Gene113 & Gene442 & !Gene17) | (Gene314 & Gene442) | (Gene314 & Gene113 & Gene17)
Gene113, (!Gene169 & !Gene866) | (Gene946 & !Gene169) | (Gene946 & !Gene778)
Gene114, (!Gene408 & !Gene479 & !Gene95) | (!Gene445 & !Gene408 & !Gene479) | (!Gene445 & Gene479 & !Gene95) | (!Gene445 & Gene408 & Gene479) | (Gene445 & Gene408 & !Gene479 & Gene95) | (Gene408 & Gene479 & !Gene95)
Gene115, (!Gene579 & !Gene445 & !Gene661) | (!Gene579 & !Gene453 & Gene445 & Gene661) | (Gene453 & !Gene445) | (Gene453 & !Gene661)
Gene116, (Gene147 & Gene804) | (Gene147 & Gene666) | (Gene314 & !Gene666 & Gene804) | (Gene314 & Gene666 & !Gene804)
Gene117, (!Gene360 & !Gene190 & Gene125) | (Gene581 & Gene190 & !Gene125) | (Gene360 & Gene190) | (Gene360 & Gene581 & !Gene125)
Gene118, (!Gene283 & !Gene287 & Gene506) | (!Gene561 & !Gene287 & Gene506) | (Gene283 & Gene287 & !Gene506) | (!Gene561 & Gene283 & Gene506) | (Gene561 & !Gene283 & Gene506) | (Gene561 & Gene283 & !Gene506)
Gene119, (!Gene414 & !Gene394 & !Gene88) | (!Gene414 & Gene394 & Gene88) | (!Gene650 & Gene394 & Gene88) | (Gene650 & !Gene88)
Gene120, (!Gene926 & Gene704) | (Gene655 & Gene663) | (Gene663 & Gene704)
Gene121, (!Gene292 & !Gene21) | (!Gene329 & !Gene645 & Gene292 & Gene21) | (Gene645 & !Gene292) | (Gene329 & !Gene645 & !Gene21)
Gene122, (!Gene228 & !Gene269 & Gene334 & !Gene589) | (Gene269 & !Gene334 & !Gene589) | (!Gene228 & Gene269 & !Gene334) | (Gene228 & !Gene334 & !Gene589) | (Gene228 & !Gene269 & Gene589) | (Gene228 & Gene269 & !Gene589)
Gene123, (!Gene305 & !Gene501 & !Gene805) | (Gene501 & Gene805) | (!Gene305 & Gene870 & !Gene805) | (Gene305 & !Gene870 & Gene805)
Gene124, (Gene1000 & !Gene159) | (!Gene23 & Gene745 & !Gene159) | (Gene745 & !Gene1000 & Gene159) | (Gene23 & Gene745 & Gene159)
Gene125, (!Gene560 & !Gene858 & Gene712) | (!Gene556 & Gene858 & !Gene712) | (!Gene556 & !Gene858 & Gene712) | (Gene556 & !Gene560 & !Gene858) | (Gene556 & Gene858 & Gene712)
Gene126, (!Gene221 & !Gene332 & Gene483) | (Gene332 & !Gene227 & !Gene483) | (Gene332 & Gene227 & Gene483) | (Gene221 & Gene227 & !Gene483)
Gene127, (!Gene702 & !Gene143 & Gene586) | (Gene143 & !Gene845 & !Gene586) | (!Gene702 & Gene143 & !Gene586) | (Gene702 & !Gene143 & Gene845) | (Gene702 & Gene143 & !Gene845)
Gene128, (Gene160 & Gene706) | (Gene82 & Gene706) | (Gene82 & !Gene160 & Gene579) | (Gene82 & Gene160 & !Gene579)
Gene129, (!Gene109 & Gene278 & Gene965) | (Gene882 & !Gene278) | (Gene109 & Gene882)
Gene130, (!Gene666 & !Gene824 & !Gene788) | (Gene824 & Gene788) | (!Gene824 & !Gene788 & Gene368) | (Gene666 & !Gene788 & Gene368)
Gene131, (!Gene425 & !Gene24 & !Gene933) | (!Gene954 & !Gene425 & Gene933) | (Gene425 & Gene24 & Gene933) | (Gene954 & Gene24 & !Gene933)
Gene132, (!Gene71 & !Gene374 & !Gene426 & !Gene651) | (!Gene71 & Gene426 & Gene651) | (Gene71 & !Gene374 & !Gene426 & Gene651) | (Gene71 & Gene426 & !Gene651) | (Gene71 & Gene374 & !Gene651) | (Gene374 & Gene426 & Gene651)
Gene133, (!Gene508 & !Gene939 & !Gene631) | (!Gene83 & !Gene508) | (!Gene83 & Gene939 & !Gene631) | (!Gene508 & Gene939 & Gene631) | (Gene83 & Gene939 & Gene631)
Gene134, (Gene719 & Gene318) | (!Gene214 & Gene540 & !Gene318) | (Gene214 & Gene540 & Gene318) | (Gene540 & Gene719)
Gene135, (!Gene715 & !Gene795 & Gene810) | (!Gene439 & Gene795 & !Gene810) | (Gene439 & !Gene795) | (Gene439 & !Gene715 & Gene810)
Gene136, (!Gene527 & !Gene325 & !Gene576) | (Gene472 & !Gene576) | (!Gene527 & Gene325 & Gene472) | (Gene527 & Gene325 & !Gene576) | (Gene527 & Gene325 & !Gene472)
Gene137, (!Gene375 & !Gene873) | (!Gene502 & !Gene375) | (!Gene502 & Gene990 & Gene873) | (Gene990 & !Gene375)
Gene138, (!Gene423 & !Gene472) | (!Gene260 & Gene423 & Gene472 & Gene953) | (Gene260 & !Gene423 & !Gene953) | (Gene260 & !Gene472)
Gene139, (!Gene171 & !Gene359) | (!Gene359 & Gene22) | (Gene171 & Gene359 & !Gene576 & !Gene22) | (Gene171 & Gene576 & Gene22)
Gene140, (!Gene417 & Gene730) | (!Gene544 & Gene417 & !Gene459) | (!Gene544 & Gene417 & !Gene730) | (Gene544 & !Gene417 & !Gene459)
Gene141, (!Gene47 & Gene931 & !Gene22) | (!Gene551 & Gene931 & Gene22) | (!Gene47 & Gene551 & !Gene22) | (Gene47 & !Gene551 & !Gene931) | (Gene551 & Gene931 & !Gene22)
Gene142, (!Gene944 & !Gene155 & !Gene72) | (Gene155 & !Gene178 & Gene72) | (!Gene155 & Gene178 & !Gene72) | (Gene944 & Gene178)
Gene143, (!Gene775 & Gene473) | (!Gene775 & Gene958 & !Gene137) | (Gene775 & !Gene958 & !Gene137 & !Gene473) | (!Gene958 & Gene137 & Gene473) | (Gene958 & !Gene137 & Gene473)
Gene144, (Gene961 & Gene479) | (Gene951 & Gene479) | (Gene410 & !Gene951 & !Gene479)
Gene145, (!Gene351 & !Gene596) | (!Gene542 & !Gene991 & !Gene351) | (Gene542 & !Gene596) | (Gene542 & Gene991 & !Gene351)
Gene146, (!Gene839 & !Gene688 & !Gene305) | (!Gene207 & !Gene305) | (!Gene207 & Gene839 & !Gene688) | (Gene207 & !Gene839 & Gene688 & Gene305) | (Gene839 & Gene688 & !Gene305)
Gene147, (!Gene457 & !Gene664 & !Gene313 & Gene886) | (!Gene664 & Gene313 & !Gene886) | (!Gene457 & Gene664 & !Gene313 & !Gene886) | (Gene664 & Gene313 & Gene886) | (Gene457 & Gene664 & Gene886) | (Gene457 & Gene313 & !Gene886)
