targets, factors
Gene52, (!Gene617 & !Gene164 & !Gene231 & Gene814) | (!Gene617 & !Gene164 & Gene231 & !Gene814) | (!Gene617 & Gene164 & !Gene231 & !Gene814) | (!Gene617 & Gene164 & Gene231 & Gene814)
Gene53, (Gene656) | (!Gene198 & !Gene795 & Gene83) | (!Gene198 & Gene795 & !Gene83)
Gene54, (Gene899 & Gene395 & Gene287) | (Gene899 & Gene775 & !Gene395 & !Gene287)
Gene55, (!Gene435) | (Gene445 & !Gene802) | (!Gene250 & Gene445) | (Gene250 & !Gene802)
Gene56, (!Gene240 & !Gene231 & Gene613) | (!Gene240 & Gene231 & !Gene613) | (!Gene240 & Gene30 & Gene613)
Gene57, (!Gene636 & !Gene563) | (!Gene636 & Gene984) | (Gene473) | (Gene984 & !Gene563)
Gene58, (!Gene652 & Gene795 & !Gene706) | (Gene652 & !Gene706 & Gene116)
Gene59, (!Gene777 & !Gene786) | (!Gene618 & !Gene777 & Gene373) | (Gene618 & !Gene777 & !Gene373)
Gene60, (!Gene394 & !Gene122 & Gene204 & !Gene147)
Gene61, (!Gene684 & !Gene676 & !Gene800) | (Gene415) | (Gene684 & Gene676)
Gene62, (!Gene333 & !Gene997) | (!Gene333 & !Gene929) | (Gene929 & !Gene997) | (Gene333 & Gene929) | (Gene556)
Gene63, (!Gene836 & Gene850 & !Gene750) | (Gene860 & !Gene750)
Gene64, (!Gene851 & Gene506 & !Gene508) | (Gene851 & !Gene237 & !Gene506 & !Gene508)
Gene65, (!Gene548 & Gene994) | (Gene548 & !Gene994 & !Gene990) | (Gene368)
Gene66, (!Gene7) | (!Gene535 & !Gene446) | (Gene535 & Gene446) | (Gene184 & !Gene446)
Gene67, (!Gene799 & !Gene708 & !Gene9) | (Gene799 & Gene708 & !Gene9) | (Gene45 & Gene708 & !Gene9)
Gene68, (Gene585) | (!Gene581 & Gene758) | (!Gene283 & Gene758) | (Gene283 & Gene581 & !Gene758)
Gene69, (!Gene574 & !Gene135) | (Gene115) | (Gene574 & Gene135) | (Gene122)
Gene70, (!Gene185) | (!Gene7 & !Gene318) | (!Gene7 & Gene454) | (Gene7 & !Gene454 & Gene318)
Gene71, (Gene393) | (Gene164) | (Gene728 & Gene615)
Gene72, (!Gene532 & Gene750 & !Gene56 & Gene156)
Gene73, (Gene175) | (!Gene933 & Gene267) | (Gene267 & Gene273)
Gene74, (Gene722 & !Gene928 & !Gene996) | (Gene722 & !Gene209 & !Gene928) | (Gene722 & !Gene209 & !Gene996)
Gene75, (!Gene307 & Gene694) | (Gene123) | (!Gene307 & Gene51) | (Gene307 & !Gene51 & !Gene694)
Gene76, (!Gene968 & !Gene461 & !Gene124 & Gene912) | (!Gene968 & Gene461 & !Gene124 & !Gene912) | (Gene968 & !Gene461 & !Gene124 & !Gene912) | (Gene968 & Gene461 & !Gene124 & Gene912)
Gene77, (!Gene229) | (!Gene788) | (Gene743) | (Gene817)
Gene78, (!Gene242 & !Gene560) | (!Gene668) | (Gene800) | (Gene242 & Gene560)
Gene79, (Gene891 & !Gene469 & Gene572 & !Gene494) | (Gene891 & Gene469 & Gene494)
Gene80, (Gene625) | (!Gene705 & Gene947) | (!Gene282 & Gene705 & !Gene947) | (Gene282 & !Gene705) | (Gene282 & Gene947)
Gene81, (Gene503 & !Gene602 & !Gene66 & !Gene678) | (Gene503 & Gene602 & !Gene66 & Gene678)
Gene82, (Gene464 & Gene840 & !Gene176) | (!Gene96 & Gene464 & Gene840)
Gene83, (!Gene814) | (!Gene547 & !Gene38) | (Gene165 & !Gene547) | (Gene165 & !Gene38)
Gene84, (!Gene497 & !Gene523) | (Gene538) | (Gene497 & Gene523) | (Gene249 & Gene523)
Gene85, (!Gene738 & !Gene973 & !Gene122) | (Gene738 & !Gene973 & Gene122) | (Gene566)
Gene86, (!Gene587 & !Gene550) | (Gene985) | (Gene587 & Gene65 & Gene550)
Gene87, (!Gene140) | (!Gene713 & !Gene415) | (!Gene713 & Gene187)
Gene88, (!Gene595 & !Gene883 & Gene799 & !Gene161) | (Gene595 & !Gene883 & !Gene799 & !Gene161) | (Gene595 & Gene883 & Gene799 & !Gene161)
Gene89, (!Gene146 & !Gene442 & !Gene536) | (Gene223) | (!Gene146 & Gene442 & Gene536) | (Gene146 & !Gene442 & Gene536) | (Gene146 & Gene442 & !Gene536)
Gene90, (Gene50 & !Gene365 & Gene127) | (Gene199 & !Gene50 & !Gene365)
Gene91, (!Gene150) | (Gene43 & !Gene345) | (Gene327)
Gene92, (!Gene403 & !Gene672) | (Gene498) | (Gene403 & !Gene929 & Gene672)
Gene93, (!Gene53) | (!Gene738) | (Gene882) | (Gene162)
Gene94, (!Gene346) | (!Gene854 & !Gene796 & Gene678) | (Gene854 & Gene796)
Gene95, (!Gene647 & !Gene411 & Gene160 & Gene18) | (!Gene647 & Gene411 & Gene160 & !Gene18)
Gene96, (Gene299) | (!Gene164 & Gene846) | (Gene164 & !Gene846) | (!Gene842 & Gene846) | (Gene842 & !Gene846)
Gene97, (!Gene396 & Gene680 & !Gene136) | (Gene637 & !Gene136) | (Gene396 & !Gene680 & !Gene136)
Gene98, (Gene194) | (!Gene12 & Gene392) | (Gene217 & Gene392)
Gene99, (!Gene415) | (!Gene602 & !Gene823) | (!Gene572 & Gene823) | (Gene572 & !Gene823)
Gene100, (!Gene200 & !Gene501) | (Gene349 & Gene501) | (Gene544)
Gene101, (!Gene505) | (!Gene692 & !Gene503) | (!Gene870 & Gene503) | (Gene692 & Gene503)
Gene102, (!Gene535 & Gene339) | (Gene666) | (Gene339 & Gene445)
Gene103, (!Gene288 & Gene321) | (!Gene633 & !Gene658 & Gene321)
Gene104, (!Gene813) | (!Gene322 & !Gene877) | (Gene322 & Gene721 & Gene877)
Gene105, (!Gene201) | (!Gene40 & Gene726) | (Gene726 & Gene513)
Gene106, (!Gene159 & Gene808 & Gene219) | (Gene540 & Gene808 & Gene219)
Gene107, (Gene718 & Gene481 & !Gene651) | (Gene718 & Gene481 & Gene25)
Gene108, (!Gene663 & !Gene131 & !Gene459) | (Gene227 & !Gene131 & Gene459) | (Gene663 & !Gene131 & Gene459)
Gene109, (Gene211 & !Gene202 & !Gene388) | (Gene211 & !Gene202 & Gene206)
Gene110, (Gene143 & !Gene996 & !Gene527) | (Gene143 & !Gene764 & !Gene527)
Gene111, (!Gene376 & Gene482 & !Gene720) | (!Gene770 & Gene482 & !Gene720)
Gene112, (Gene384) | (Gene789 & Gene332) | (Gene262 & !Gene789)
Gene113, (Gene41 & Gene690) | (Gene685 & !Gene910 & Gene690)
Gene114, (Gene640 & Gene199 & !Gene849) | (Gene437 & Gene640 & !Gene199 & Gene849)
Gene115, (!Gene862 & Gene465 & Gene249) | (!Gene968 & Gene862 & Gene465) | (Gene968 & !Gene862 & Gene465)
Gene116, (!Gene822) | (!Gene528 & Gene834) | (Gene528 & !Gene834) | (Gene603)
Gene117, (!Gene30) | (!Gene640 & Gene601) | (Gene640 & !Gene601) | (Gene599 & Gene601)
Gene118, (!Gene358) | (!Gene381 & !Gene219 & Gene218) | (!Gene381 & Gene219 & !Gene218) | (Gene381 & Gene219 & Gene218)
Gene119, (!Gene507) | (!Gene976 & !Gene757 & !Gene516) | (Gene976 & !Gene757 & Gene516) | (Gene976 & Gene757 & !Gene516)
Gene120, (!Gene892) | (Gene712 & !Gene167) | (Gene712 & Gene379)
Gene121, (!Gene48 & !Gene177 & !Gene484) | (Gene164 & !Gene48 & !Gene484) | (Gene164 & !Gene48 & Gene177)
Gene122, (!Gene470 & !Gene487) | (Gene323 & !Gene820 & !Gene487)
Gene123, (Gene304 & Gene244 & Gene691) | (Gene304 & Gene164 & !Gene691)
Gene124, (!Gene787 & Gene832 & !Gene740) | (Gene832 & !Gene740 & Gene867)
Gene125, (!Gene3 & !Gene138 & !Gene2) | (Gene231) | (Gene3 & Gene2) | (Gene3 & Gene138)
Gene126, (!Gene251 & !Gene929) | (!Gene174 & !Gene251) | (!Gene174 & !Gene929) | (!Gene75) | (Gene174 & Gene251 & Gene929)
Gene127, (!Gene832) | (Gene940 & Gene136) | (Gene940 & Gene230)
Gene128, (Gene160 & !Gene329 & !Gene893) | (!Gene858 & Gene160 & Gene329 & Gene893) | (Gene858 & Gene160 & !Gene893)
Gene129, (!Gene117 & !Gene242) | (!Gene181) | (!Gene318)
Gene130, (!Gene605) | (!Gene449 & !Gene209) | (Gene372)
Gene131, (!Gene9 & !Gene49) | (!Gene239 & Gene737 & !Gene49) | (Gene239 & !Gene737 & !Gene49)
Gene132, (!Gene943 & Gene983) | (!Gene50 & !Gene535 & Gene983) | (Gene50 & Gene535 & Gene983)
Gene133, (Gene317) | (!Gene125 & Gene31) | (Gene125 & !Gene31 & !Gene236)
Gene134, (!Gene118 & !Gene809 & !Gene963 & !Gene461)
Gene135, (!Gene172) | (Gene484 & !Gene437) | (Gene909 & !Gene437) | (Gene909 & Gene484)
Gene136, (!Gene48 & Gene338) | (Gene108) | (Gene428 & Gene48)
Gene137, (!Gene84 & Gene902 & !Gene547) | (Gene84 & !Gene902 & !Gene547) | (Gene627 & !Gene547)
Gene138, (!Gene541 & !Gene625 & !Gene401) | (Gene170 & !Gene541)
Gene139, (!Gene377 & Gene989 & !Gene988) | (Gene377 & Gene989 & Gene988) | (Gene989 & Gene743 & !Gene988)
Gene140, (!Gene712 & !Gene821) | (!Gene811 & !Gene821 & Gene933) | (Gene811 & !Gene821 & !Gene933)
Gene141, (!Gene442 & Gene929 & !Gene242) | (Gene442 & Gene929 & Gene213 & Gene242)
Gene142, (Gene637 & !Gene457 & !Gene956) | (Gene637 & !Gene96 & Gene956) | (Gene637 & Gene457 & Gene956)
Gene143, (!Gene408) | (!Gene262 & Gene474) | (Gene710 & !Gene262)
Gene144, (!Gene480) | (!Gene853 & Gene857) | (Gene853 & !Gene857) | (Gene886)
Gene145, (!Gene989 & !Gene558 & Gene939) | (!Gene989 & !Gene558 & Gene394) | (!Gene989 & Gene394 & Gene939)
Gene146, (!Gene884 & !Gene197 & !Gene671) | (!Gene197 & Gene671 & Gene549) | (Gene884 & !Gene197 & Gene671)
Gene147, (!Gene25 & !Gene238) | (Gene808) | (Gene238 & Gene149) | (Gene25 & Gene238)
Gene148, (Gene555) | (Gene974 & Gene98) | (Gene641 & Gene974)
Gene149, (Gene470 & !Gene225) | (Gene470 & Gene977) | (Gene623)
Gene150, (!Gene664) | (Gene601) | (Gene656) | (Gene718)
Gene151, (Gene837) | (Gene330 & Gene388) | (Gene330 & Gene319)
Gene152, (!Gene838 & !Gene733) | (Gene247 & Gene255 & !Gene733)
Gene153, (!Gene568 & !Gene699) | (!Gene313) | (Gene853 & !Gene568) | (Gene853 & !Gene699)
Gene154, (!Gene677 & !Gene110) | (Gene110 & Gene285) | (Gene793) | (Gene677 & Gene110)
Gene155, (!Gene95 & !Gene995 & Gene52 & !Gene528) | (!Gene95 & Gene995 & !Gene52 & !Gene528)
Gene156, (!Gene231 & !Gene331 & !Gene348) | (!Gene331 & !Gene939 & Gene348) | (!Gene331 & Gene939 & !Gene348) | (Gene231 & !Gene331 & Gene348)
Gene157, (!Gene922) | (!Gene650 & Gene357) | (!Gene16 & Gene357) | (Gene16 & !Gene357)
Gene158, (Gene166 & !Gene261 & Gene481) | (Gene166 & Gene261 & !Gene481 & Gene951)
Gene159, (!Gene295 & !Gene894 & !Gene435) | (!Gene838 & !Gene894 & !Gene435) | (!Gene838 & Gene295 & !Gene435) | (Gene838 & !Gene295 & !Gene435)
Gene160, (!Gene279 & !Gene895 & !Gene509) | (!Gene573 & !Gene895 & !Gene509) | (Gene573 & !Gene279 & !Gene895)
Gene161, (Gene50 & !Gene992) | (Gene186) | (Gene648 & Gene50)
Gene162, (Gene371) | (Gene593) | (Gene682 & Gene486)
Gene163, (Gene394 & !Gene648 & Gene569) | (Gene394 & Gene750 & Gene569)
Gene164, (!Gene81 & Gene246) | (Gene777 & !Gene81) | (Gene777 & Gene246) | (Gene930)
Gene165, (!Gene167 & Gene647 & !Gene111) | (Gene756 & Gene647 & !Gene111)
Gene166, (!Gene969 & !Gene788 & !Gene402) | (!Gene788 & Gene402 & Gene583) | (Gene969 & !Gene788 & Gene402)
Gene167, (!Gene726 & !Gene733 & Gene215) | (Gene607) | (Gene726 & !Gene215)
Gene168, (!Gene379 & Gene353 & Gene634) | (Gene838 & Gene353 & !Gene634) | (Gene379 & Gene353 & !Gene634)
Gene169, (!Gene736) | (!Gene720 & Gene785 & !Gene541) | (Gene720 & Gene541)
Gene170, (!Gene252 & !Gene27 & Gene276) | (!Gene252 & Gene27 & !Gene276) | (!Gene252 & Gene736 & !Gene276)
Gene171, (Gene37) | (!Gene387 & !Gene363 & Gene574) | (Gene363 & !Gene574) | (Gene387 & !Gene574)
Gene172, (!Gene952) | (!Gene570 & !Gene638 & !Gene464) | (Gene570 & Gene464)
Gene173, (!Gene241) | (!Gene285 & !Gene239 & !Gene371) | (Gene285 & !Gene239 & Gene371)
Gene174, (!Gene791) | (!Gene453 & !Gene76) | (Gene221)
Gene175, (!Gene498 & Gene806) | (Gene1) | (Gene498 & !Gene806) | (Gene177)
Gene176, (Gene276) | (!Gene683 & Gene338 & !Gene522) | (Gene683 & !Gene338 & !Gene522) | (Gene683 & Gene338 & Gene522)
Gene177, (!Gene137) | (Gene245) | (Gene502 & !Gene198)
Gene178, (!Gene34 & Gene951) | (Gene210 & !Gene34 & !Gene673)
Gene179, (!Gene629) | (!Gene975 & !Gene392) | (Gene229 & Gene975 & Gene392)
Gene180, (!Gene523 & !Gene209 & Gene621) | (!Gene523 & Gene209 & !Gene621 & !Gene885)
Gene181, (Gene47 & !Gene478) | (Gene568) | (Gene859 & !Gene478)
Gene182, (Gene121 & Gene259 & !Gene39) | (!Gene589 & Gene121 & Gene259) | (Gene589 & Gene259 & !Gene39)
Gene183, (!Gene523 & !Gene848) | (!Gene147) | (Gene461 & !Gene523)
Gene184, (!Gene325 & Gene707 & Gene169) | (Gene325 & !Gene707 & !Gene169) | (Gene859)
Gene185, (!Gene646 & !Gene435 & Gene379 & Gene67) | (Gene646 & !Gene435 & Gene379 & !Gene67)
Gene186, (!Gene446 & !Gene176 & Gene493) | (!Gene151 & !Gene446 & Gene493) | (!Gene151 & !Gene176 & Gene493)
Gene187, (!Gene498 & !Gene51 & !Gene228 & !Gene77) | (!Gene498 & Gene51 & Gene228 & !Gene77)
Gene188, (!Gene12 & !Gene282 & !Gene366) | (Gene97 & Gene12 & !Gene282 & Gene366)
Gene189, (!Gene184 & !Gene424 & Gene851) | (Gene424 & Gene851 & Gene680)
Gene190, (!Gene723) | (!Gene211) | (Gene860) | (Gene312)
Gene191, (!Gene231 & !Gene163 & !Gene551) | (!Gene299 & !Gene231 & Gene163 & Gene551) | (Gene299 & !Gene231 & !Gene163) | (Gene299 & !Gene231 & !Gene551)
Gene192, (!Gene181) | (!Gene967 & Gene938) | (Gene967 & !Gene938) | (Gene247 & Gene938)
Gene193, (!Gene654 & Gene748 & Gene499) | (Gene654 & !Gene595 & !Gene748 & Gene499) | (Gene595 & Gene748 & Gene499)
Gene194, (Gene208) | (!Gene867 & Gene452) | (Gene628) | (Gene867 & !Gene452)
Gene195, (!Gene695 & !Gene541 & !Gene206) | (!Gene7 & Gene695 & Gene541 & !Gene206) | (Gene7 & !Gene541 & !Gene206)
Gene196, (!Gene282) | (!Gene705 & !Gene687 & Gene448) | (!Gene705 & Gene687 & !Gene448) | (Gene705 & !Gene687 & !Gene448)
Gene197, (!Gene17) | (!Gene497 & !Gene612) | (!Gene655 & !Gene612) | (Gene655 & !Gene497)
Gene198, (!Gene372 & !Gene763 & !Gene113) | (!Gene935 & !Gene763) | (Gene372 & !Gene763 & Gene113)
Gene199, (!Gene158 & Gene511 & Gene737) | (!Gene967 & Gene158 & Gene511 & !Gene737) | (Gene967 & !Gene158 & Gene511)
Gene200, (!Gene177) | (!Gene704) | (Gene960) | (Gene932)
Gene201, (!Gene528 & !Gene805 & !Gene880) | (Gene418 & !Gene528 & !Gene880)
Gene202, (!Gene626 & Gene25 & !Gene249) | (!Gene626 & Gene25 & Gene465) | (Gene25 & !Gene249 & Gene465) | (Gene626 & Gene25 & Gene249 & !Gene465)
Gene203, (!Gene365 & Gene449) | (Gene365 & Gene353) | (Gene327)
Gene204, (!Gene636 & !Gene288 & Gene146 & !Gene994) | (Gene636 & !Gene146 & !Gene994)
Gene205, (!Gene748 & !Gene564) | (!Gene295 & !Gene564) | (!Gene295 & Gene748) | (Gene265) | (Gene295 & !Gene748)
Gene206, (!Gene619) | (!Gene295) | (!Gene220 & !Gene920)
Gene207, (Gene802 & !Gene908 & !Gene47 & !Gene341) | (Gene802 & !Gene908 & Gene47 & Gene341)
Gene208, (!Gene259 & !Gene892) | (Gene376) | (Gene259 & Gene892 & Gene64)
Gene209, (!Gene155 & !Gene21) | (!Gene155 & !Gene683 & Gene879)
Gene210, (!Gene588 & !Gene802) | (Gene635) | (!Gene179 & !Gene802) | (!Gene179 & Gene588) | (Gene179 & !Gene588)
Gene211, (Gene407 & !Gene959 & Gene487) | (Gene407 & Gene127 & Gene487)
Gene212, (!Gene592) | (!Gene436 & !Gene222) | (!Gene436 & Gene270) | (!Gene222 & Gene270) | (Gene436 & Gene222 & !Gene270)
Gene213, (Gene384) | (!Gene661 & Gene642 & Gene266) | (Gene661 & !Gene642)
Gene214, (!Gene29 & Gene66 & Gene63) | (Gene29 & !Gene66 & !Gene174 & Gene63) | (Gene66 & Gene174 & Gene63)
Gene215, (!Gene530 & !Gene465) | (!Gene301 & !Gene712 & !Gene465) | (Gene301 & Gene712 & !Gene465)
Gene216, (!Gene137 & !Gene446 & !Gene463) | (!Gene186 & !Gene446 & !Gene463) | (!Gene186 & Gene137 & !Gene463)
Gene217, (!Gene46) | (!Gene214 & Gene865) | (Gene214 & !Gene287 & !Gene865) | (Gene287 & Gene865)
Gene218, (!Gene195 & !Gene617) | (!Gene69 & Gene617) | (Gene69 & !Gene617) | (Gene195 & Gene617) | (Gene27)
Gene219, (!Gene532 & Gene330) | (Gene697) | (Gene110)
Gene220, (!Gene305 & !Gene881 & Gene966) | (!Gene881 & Gene520)
Gene221, (!Gene472 & !Gene416) | (Gene135 & Gene959 & !Gene416)
Gene222, (!Gene148 & !Gene413 & Gene709) | (!Gene413 & Gene141 & Gene709) | (Gene148 & Gene413 & Gene709)
Gene223, (!Gene207) | (!Gene547 & !Gene454) | (Gene218 & Gene547 & Gene454)
Gene224, (Gene655 & Gene476 & Gene383) | (Gene826 & Gene476 & Gene383) | (Gene826 & Gene655 & Gene383)
Gene225, (!Gene293 & !Gene538) | (Gene21) | (Gene241 & !Gene293) | (Gene241 & !Gene538)
Gene226, (!Gene195 & !Gene109) | (!Gene559) | (!Gene498 & Gene195 & Gene109)
Gene227, (Gene270 & !Gene171 & Gene663) | (Gene892 & Gene270)
Gene228, (!Gene354 & !Gene633 & !Gene694) | (!Gene354 & Gene176 & !Gene694)
Gene229, (!Gene492 & !Gene758 & Gene917) | (Gene492 & !Gene627 & Gene758 & Gene917) | (Gene627 & !Gene758 & Gene917)
Gene230, (!Gene558 & !Gene948 & Gene712) | (!Gene558 & !Gene991 & Gene948 & !Gene712)
Gene231, (!Gene792 & !Gene552 & Gene19) | (!Gene792 & Gene115)
Gene232, (!Gene44) | (!Gene76 & Gene156) | (!Gene908 & Gene76) | (Gene908 & !Gene76)
Gene233, (Gene695) | (Gene862 & Gene58) | (Gene646 & !Gene58)
Gene234, (!Gene370) | (!Gene901 & Gene902) | (!Gene753 & Gene902) | (Gene753 & !Gene902)
Gene235, (!Gene917 & Gene169) | (Gene896 & !Gene169) | (Gene543)
Gene236, (!Gene285 & Gene300 & !Gene72 & !Gene453) | (Gene285 & Gene300 & Gene72)
Gene237, (!Gene833) | (!Gene226 & !Gene538) | (!Gene303 & !Gene226) | (!Gene303 & !Gene538) | (Gene303 & Gene226 & Gene538)
Gene238, (!Gene338 & !Gene552 & Gene876) | (!Gene864 & !Gene552 & Gene876) | (Gene864 & Gene338 & !Gene552 & !Gene876)
Gene239, (!Gene170) | (!Gene599 & Gene756 & Gene166) | (Gene599 & !Gene756 & Gene166) | (Gene599 & Gene756 & !Gene166)
Gene240, (!Gene498 & Gene669 & !Gene525) | (!Gene498 & !Gene683 & Gene669)
Gene241, (!Gene148) | (!Gene96 & !Gene218) | (Gene695)
Gene242, (!Gene799 & !Gene699) | (!Gene349 & !Gene699) | (Gene799 & Gene699) | (Gene803)
Gene243, (Gene268 & Gene272 & !Gene715 & Gene53)
Gene244, (Gene280 & !Gene596) | (!Gene799 & Gene790 & Gene280)
Gene245, (!Gene366) | (!Gene391 & !Gene843 & !Gene328) | (Gene843 & Gene328) | (Gene391 & Gene843)
Gene246, (!Gene355 & !Gene368 & Gene61 & Gene273) | (Gene355 & !Gene368 & !Gene61 & Gene273)
Gene247, (Gene414 & Gene831) | (Gene353 & Gene414 & !Gene191)
Gene248, (!Gene971) | (!Gene15 & !Gene871) | (!Gene15 & !Gene653) | (Gene653 & !Gene871)
Gene249, (!Gene143 & Gene362 & !Gene809) | (Gene103 & Gene362)
Gene250, (!Gene484 & !Gene779 & !Gene691) | (!Gene484 & Gene243 & !Gene691)
Gene251, (!Gene797) | (!Gene86 & Gene692) | (Gene204) | (Gene86 & !Gene692)
Gene252, (!Gene125 & !Gene564) | (!Gene890 & Gene564) | (Gene890 & !Gene564) | (Gene896)
Gene253, (!Gene582 & Gene359) | (Gene582 & !Gene137 & !Gene359) | (Gene764)
Gene254, (Gene575 & !Gene688 & Gene70) | (Gene575 & !Gene688 & Gene287) | (Gene575 & Gene287 & Gene70)
Gene255, (Gene513 & Gene340 & !Gene780) | (Gene513 & Gene892 & Gene340)
Gene256, (Gene54 & !Gene24) | (!Gene484 & Gene996 & Gene54)
Gene257, (Gene719 & Gene828 & !Gene929) | (Gene719 & Gene828 & Gene695)
Gene258, (!Gene65 & Gene527 & Gene431 & !Gene128) | (Gene65 & !Gene527 & Gene431 & !Gene128)
Gene259, (!Gene57) | (!Gene639 & Gene748) | (Gene639 & !Gene748 & !Gene663)
Gene260, (Gene379) | (Gene832 & !Gene985 & Gene202)
Gene261, (!Gene613 & Gene926) | (!Gene985 & !Gene613 & Gene381)
Gene262, (!Gene851) | (!Gene745 & Gene886) | (!Gene249 & Gene745)
Gene263, (!Gene698) | (!Gene37 & !Gene288) | (Gene154)
